City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
4030556,Rikitea,78,PF,1603343901,73,-23.12,-134.97,74.12,2.59
1649150,Bengkulu,100,ID,1603343777,72,-3.8,102.27,81.01,10.16
4465088,Elizabeth City,90,US,1603343938,100,36.29,-76.25,66.2,3.2
3421765,Nanortalik,36,GL,1603343906,81,60.14,-45.24,34.07,36.06
5847411,Kahului,20,US,1603343917,58,20.89,-156.47,82.4,5.82
3874787,Punta Arenas,75,CL,1603343993,66,-53.15,-70.92,48.2,16.11
6170031,Tuktoyaktuk,90,CA,1603343906,85,69.45,-133.04,19.4,11.41
2121385,Severo-Kuril'sk,89,RU,1603343930,69,50.68,156.12,42.87,8.9
1819729,Hong Kong,24,HK,1603343942,60,22.29,114.16,80.01,1.99
2638419,Scarborough,77,GB,1603343765,80,54.28,-0.4,50.0,5.99
2270385,Camacha,20,PT,1603343914,55,33.08,-16.33,64.4,13.87
2206939,Bluff,97,NZ,1603343799,60,-46.6,168.33,59.0,3.0
2126710,Beringovskiy,35,RU,1603343999,85,63.05,179.32,38.44,6.11
2019135,Nizhniy Kuranakh,98,RU,1603343999,94,58.84,125.49,23.74,3.31
4035715,Avarua,100,CK,1603343931,83,-21.21,-159.78,75.2,9.17
2155415,New Norfolk,65,AU,1603343910,51,-42.78,147.06,61.0,1.01
2108857,Gizo Government Station,65,SB,1603344000,75,-8.1,156.84,82.54,10.71
1259385,Port Blair,72,IN,1603343916,76,11.67,92.75,84.47,12.3
3868626,Valparaíso,40,CL,1603344001,100,-33.04,-71.63,46.4,3.36
3831208,Qaanaaq,98,GL,1603344001,87,77.48,-69.36,19.58,7.25
6201424,Mataura,96,NZ,1603343915,60,-46.19,168.86,59.0,3.0
3372964,Lagoa,77,PT,1603343979,67,39.05,-27.98,62.69,15.05
3833367,Ushuaia,75,AR,1603343673,57,-54.8,-68.3,48.2,6.11
1786855,Yatou,0,CN,1603343928,42,37.15,122.38,58.42,17.29
736017,Kamariótissa,40,GR,1603344002,77,40.48,25.47,62.6,3.36
5106841,Albany,99,US,1603343900,77,42.6,-73.97,62.01,2.46
3372707,Ribeira Grande,96,PT,1603343965,70,38.52,-28.7,63.41,14.92
2163355,Hobart,75,AU,1603343792,63,-42.88,147.33,61.0,6.93
964420,Port Elizabeth,0,ZA,1603344003,93,-33.92,25.57,57.2,1.12
2137748,Voh,68,NC,1603344004,63,-20.97,164.7,79.27,3.71
2126123,Chokurdakh,100,RU,1603343960,95,70.63,147.92,12.61,4.27
3933104,Pangoa,55,PE,1603344005,93,-12.12,-73.0,65.55,2.95
6167817,Torbay,90,CA,1603343965,100,47.67,-52.73,48.99,11.41
1513491,Yangi Marg`ilon,62,UZ,1603344006,25,40.43,71.72,64.4,12.21
1737714,Limbang,75,MY,1603344006,66,4.75,115.0,89.01,9.17
2026126,Borzya,0,RU,1603344006,69,50.38,116.52,35.53,10.16
2126199,Cherskiy,0,RU,1603343935,94,68.75,161.3,21.61,10.74
4031637,Lavrentiya,0,RU,1603343935,92,65.58,-171.0,35.26,2.93
1695546,Pandan,92,PH,1603344007,64,14.05,124.17,88.68,9.13
3985710,Cabo San Lucas,0,MX,1603343755,76,22.89,-109.91,81.0,9.19
3369157,Cape Town,0,ZA,1603343917,93,-33.93,18.42,62.01,11.41
2392087,Porto-Novo,40,BJ,1603344009,88,6.5,2.6,80.6,8.05
2160053,Lithgow,45,AU,1603344009,62,-33.48,150.15,69.01,1.99
1039536,Maxixe,20,MZ,1603344009,94,-23.86,35.35,71.6,4.7
134601,Fareydūnshahr,0,IR,1603344010,31,32.94,50.12,51.13,4.34
544084,Koslan,5,RU,1603344010,97,63.46,48.9,21.7,4.83
1015776,Bredasdorp,0,ZA,1603343904,82,-34.53,20.04,60.8,4.7
1788852,Xining,0,CN,1603344011,36,36.62,101.77,52.36,2.48
1633419,Padang,100,ID,1603343752,63,-0.95,100.35,82.94,5.84
2075265,Busselton,9,AU,1603343898,31,-33.65,115.33,73.0,8.1
6166142,Thunder Bay,75,CA,1603343790,97,48.4,-89.32,32.0,8.05
1507390,Dikson,99,RU,1603343905,96,73.51,80.55,25.5,11.99
3445026,Vila Velha,90,BR,1603344000,88,-20.33,-40.29,75.2,5.82
4020109,Atuona,3,PF,1603343852,74,-9.8,-139.03,77.92,15.55
2110227,Butaritari,39,KI,1603343898,71,3.07,172.79,82.08,8.68
4032243,Vaini,90,TO,1603343904,78,-21.2,-175.2,73.4,8.05
3424607,Tasiilaq,100,GL,1603343933,86,65.61,-37.64,30.2,1.12
6094325,Orillia,34,CA,1603344013,97,44.61,-79.42,44.01,5.86
1640902,Kawalu,43,ID,1603344013,65,-7.38,108.21,86.41,3.51
6165406,Thompson,90,CA,1603343932,92,55.74,-97.86,23.0,3.36
3652764,Puerto Ayora,96,EC,1603343913,93,-0.74,-90.35,68.0,5.01
2338660,Yaan,97,NG,1603344014,95,7.38,8.57,73.22,5.44
3361934,Saldanha,0,ZA,1603343902,87,-33.01,17.94,48.2,4.7
5546220,Saint George,1,US,1603343858,16,37.1,-113.58,66.2,5.82
2294915,Takoradze,74,GH,1603344015,89,4.88,-1.76,77.34,6.49
3374210,São Filipe,33,CV,1603343914,73,14.9,-24.5,80.58,5.82
2541479,Nador,98,MA,1603344015,82,35.17,-2.93,68.0,4.7
1242110,Kalmunai,3,LK,1603344015,51,7.42,81.82,90.39,0.85
2014624,Udachny,90,RU,1603344016,84,66.42,112.4,3.2,2.24
6355222,Yulara,56,AU,1603343982,13,-25.24,130.99,100.4,26.4
2139521,Noumea,40,NC,1603343813,51,-22.28,166.46,86.0,13.87
2347758,Bara,14,NG,1603344017,86,10.37,10.73,70.54,1.72
964432,Port Alfred,0,ZA,1603343726,71,-33.59,26.89,66.38,6.91
102527,Sakakah,0,SA,1603344017,17,29.97,40.21,66.2,3.36
2643044,Margate,0,GB,1603343923,83,51.38,1.39,55.99,5.99
3366880,Hermanus,3,ZA,1603343725,82,-34.42,19.23,60.01,7.0
1061335,Mananjary,36,MG,1603344018,63,-21.22,48.33,76.69,3.42
777019,Vardø,75,NO,1603343638,92,70.37,31.11,30.2,3.36
